Satellite Name;Country;Users;Purpose;Orbit;Longitude of GEO;Perigee;Apogee;Eccentricity;Inclination;Period;Launch Date;Status;Final Date;Effective Lifetime;Expected Lifetime;Mass;Continent;log.Eccentricity
USA 174;USA;Military;Communications;GEO;71,44;35786;35787;1,19E-05;2,16;1436,1;18/12/2003;censored;17/11/2023;19,93;4;2775;Americas;11,34229134
Syracuse 3A;France;Military;Communications;GEO;47,05;35778;35792;0,000166054;0;1436,06;13/10/2005;censored;17/11/2023;18,11;12;1420;Europe;8,703198431
AMC-18;USA;Commercial;Communications;GEO;-104,97;35773;35800;0,000320235;0,06;1436,1;08/12/2006;censored;17/11/2023;16,95;15;4;Americas;8,046454477
Globalstar M065;USA;Commercial;Communications;LEO;0;1411;1416;0,000321192;52;114,1;29/05/2007;censored;17/11/2023;16,48;10;3080;Americas;8,043470656
Globalstar M072;USA;Commercial;Communications;LEO;0;1412;1416;0,000256937;52;114,1;29/05/2007;censored;17/11/2023;16,48;10;3500;Americas;8,266678443
Skynet 5B;United Kingdom;Military;Communications;GEO;52,8;35700;35803;0,001222654;0,07;1436,1;14/11/2007;censored;17/11/2023;16,02;15;4000;Europe;6,70673177
USA 204;USA;Military;Communications;GEO;60,18;35786;35787;1,19E-05;0,03;1436,12;04/04/2009;censored;17/11/2023;14,63;14;1;Americas;11,34229134
GOES-14;USA;Government;Earth Observation;GEO;-104,41;35170;35170;1;0;1436;27/06/2009;censored;17/11/2023;14,4;10;1;Americas;0
SMOS;ESA;Government;Earth Observation;LEO;0;759;760;7,01E-05;98,4;100;02/11/2009;censored;17/11/2023;14,05;3;3800;Europe;9,565143565
Intelsat 14;USA;Commercial;Communications;GEO;-45;35771;35800;0,000343965;0,02;1436,05;23/11/2009;censored;17/11/2023;13,99;16;4200;Americas;7,974971792
GOES-15;USA;Government;Earth Observation;GEO;-135;35786;35788;2,37E-05;0,42;1436,14;04/03/2010;retired;29/10/2018;8,66;10;4200;Americas;10,64915602
SES-1;Luxembourg;Commercial;Communications;GEO;-101;35781;35793;0,000142325;0,05;1436,1;24/04/2010;censored;17/11/2023;13,58;15;800;Europe;8,857396554
GSAT-8;India;Government;Communications;GEO;55;35782;35796;0,000166038;0,09;1436,23;20/05/2011;censored;17/11/2023;12,5;12;800;Asia;8,703293315
Fengyun 2F;China;Government;Earth Observation;GEO;112;35760;35816;0,000664168;2,19;1436,19;12/01/2012;retired;01/04/2022;10,22;3;800;Asia;7,316975234
SDS-4;Japan;Government;Technology Development;LEO;0;661;673;0,000852636;98,2;98,1;17/05/2012;censored;01/07/2021;9,13;2;800;Asia;7,067177753
USA 244;USA;Military;Communications;GEO;-135,22;35772;35801;0,000343956;0;1436,1;08/08/2013;censored;17/11/2023;10,28;14;92;Americas;7,974995513
SWARM-B;ESA;Government;Earth Observation;LEO;0;473;476;0,000219154;87,3;93,9;22/11/2013;censored;17/11/2023;9,99;4;56;Europe;8,425735581
SWARM-C;ESA;Government;Earth Observation;LEO;0;486;496;0,000728757;87,5;94;22/11/2013;censored;17/11/2023;9,99;4;55;Europe;7,22417057
INMARSAT 5 F1;United Kingdom;Commercial;Communications;GEO;60,3;35784;35790;7,12E-05;0,06;1436,13;08/12/2013;censored;17/11/2023;9,95;15;55;Europe;9,550543735
USA 263;USA;Military;Communications;GEO;174,96;35772;35801;0,000343956;0;1436,1;24/07/2015;censored;17/11/2023;8,32;14;10;Americas;7,974995513
SES-9;Luxembourg;Commercial;Communications;GEO;108,02;35787;35791;4,74E-05;0,05;1436,2;04/03/2016;censored;17/11/2023;7,71;15;10;Europe;9,956056283
Iridium Next 105;USA;Government;Communications;LEO;0;608;622;0,001002147;86,6;97;14/01/2017;censored;17/11/2023;6,84;15;25;Americas;6,905610123
Iridium Next 109;USA;Government;Communications;LEO;0;610;622;0,000858861;86,6;97;14/01/2017;censored;17/11/2023;6,84;15;587;Americas;7,059903956
Iridium Next 114;USA;Government;Communications;LEO;0;608;622;0,001002147;86,6;96,9;14/01/2017;censored;17/11/2023;6,84;15;15;Americas;6,905610123
Hispasat 36W-1;Spain;Commercial;Communications;GEO;-36,9;35783;35791;9,49E-05;0;1436,1;28/01/2017;censored;17/11/2023;6,81;15;15;Europe;9,262861662
Iridium Next 123;USA;Government;Communications;LEO;0;607;624;0,001216806;86,6;97;25/06/2017;censored;17/11/2023;6,4;15;112;Americas;6,711525688
Iridium Next 128;USA;Government;Communications;LEO;0;609;625;0,001144984;86,6;97;25/06/2017;censored;17/11/2023;6,4;15;680;Americas;6,772365017
Iridium Next 119;USA;Government;Communications;LEO;0;610;626;0,00114482;86,6;97;09/10/2017;censored;17/11/2023;6,11;15;714;Americas;6,77250813
